Address1,Address2,Distance
"Corso Unione Sovietica, 218 bis, Torino","Via Pietro Giuria, 1, Torino",2.84
"Via Filadelfia, 73, Torino","Via Pietro Giuria, 1, Torino",3.77
"Corso Massimo D'Azeglio, 15/b, Torino","Via Pietro Giuria, 1, Torino",0.29
"Via Pietro Giuria, 1, Torino","Via Pietro Giuria, 15, Torino",0.3
"Via Michelangelo, 25, Torino","Via Pietro Giuria, 1, Torino",7.9
"Via Pietro Giuria, 1, Torino","Via Sant'Ottavio, 54, Torino",2.45
"Corso Regina Margherita, 60, Torino","Via Pessinetto 12, Torino",3.6
"Corso S.Maurizio 31/a, Torino","Via Pessinetto 12, Torino",3.38
"Lungo Dora Siena, 100, Torino","Via Pessinetto 12, Torino",3.63
"Largo Paolo Braccini, 2, Grugliasco","Via Pessinetto 12, Torino",5.87
"Via Pessinetto 12, Torino","Via Quarello, 15/A, Torino",8.71
"Via Pessinetto 12, Torino","Via Po, 30, Torino",3.6
"Via Pessinetto 12, Torino","Via XX Settembre, 15, Torino",3.16
"Piazza Castello, 9, Torino","Via Pessinetto 12, Torino",3.12
"Via Nizza, 262, Torino","Via Pessinetto 12, Torino",6.42
"Via Pessinetto 12, Torino","Via San Giacomo, 2, Beinasco",8.37
"Via Pessinetto 12, Torino","Via Sant'Ottavio, 18, Torino",3.73
"Corso Massimo D'Azeglio, 50, Torino","Via Pessinetto 12, Torino",4.75
"Corso Massimo D'Azeglio, 52, Torino","Via Pessinetto 12, Torino",4.8
"Corso Raffaello, 30, Torino","Via Pessinetto 12, Torino",4.7
"Via Pessinetto 12, Torino","Via Pietro Giuria, 7, Torino",4.61
"Via Pessinetto 12, Torino","Via Pietro Giuria, 1, Torino",4.58
"Via Pessinetto 12, Torino","Via Pessinetto, 12, Torino",0.0
"Via Michelangelo, 27, Torino","Via Pessinetto 12, Torino",4.76
"Via Pessinetto 12, Torino","Via Valperga Caluso, 35, Torino",4.52
"Via Pessinetto 12, Torino","Viale Pier Andrea Mattioli, 25, Torino",4.4
"Via Pessinetto 12, Torino","Via Pietro Giuria, 9, Torino",4.65
"Via Gabriele Chiabrera, 27, Torino","Via Pessinetto 12, Torino",5.24
"Via Pessinetto 12, Torino","Via Po, 18, Torino",3.43
"Corso Regina Margherita, 211, Torino","Via Pessinetto 12, Torino",0.83
"Via Montebello, 28 bis, Torino","Via Pessinetto 12, Torino",3.48
"Corso Massimo D'Azeglio, 42, Torino","Via Pessinetto 12, Torino",4.53
"Via Antonio Rosmini, 4/a, Torino","Via Pessinetto 12, Torino",4.69
"Via Nizza, 230, Torino","Via Pessinetto 12, Torino",6.35
"Via Nizza, 52, Torino","Via Pessinetto 12, Torino",4.57
"Corso Bramante, 88, Torino","Via Pessinetto 12, Torino",5.51
"Corso Achille Mario Dogliotti, 14, Torino","Via Pessinetto 12, Torino",5.65
"Corso Dogliotti, 38, Torino","Via Pessinetto 12, Torino",5.81
"Via Cherasco, 11, Torino","Via Pessinetto 12, Torino",5.76
"Via Cherasco, 15, Torino","Via Pessinetto 12, Torino",5.8
"Via Genova, 3, Torino","Via Pessinetto 12, Torino",5.52
"Via Pessinetto 12, Torino","Via Santena, 5 bis, Torino",5.98
"Via Pessinetto 12, Torino","Via Santena, 7, Torino",6.0
"Via Pessinetto 12, Torino","Via Santena, 9, Torino",6.0
"Via Pessinetto 12, Torino","Via Zuretti, 29, Torino",6.4
"Via Juvarra, 19, Torino","Via Pessinetto 12, Torino",1.95
"Largo Polonia, 94, Torino","Via Pessinetto 12, Torino",6.23
"Via Cherasco, 23, Torino","Via Pessinetto 12, Torino",5.91
"Via Pessinetto 12, Torino","Via Ventimiglia, 3, Torino",6.2
"Via Pessinetto 12, Torino","Via Ventimiglia, 145, Torino",7.44
"Via Giulia di Barolo, 3/a, Torino","Via Pessinetto 12, Torino",3.86
"Via Pessinetto 12, Torino","Via dell'Arsenale, 22, Torino",3.0
